Kecamatan ;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan; - ;6; - ; - ; - ; - ; - ; - ; - ;4;10;1
Purwareja Klampok;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;1
Mandiraja; - ; - ;5;1; - ; - ; - ; - ; - ;2;11;1
Purwanegara; - ;13;1; - ; - ; - ; - ; - ; - ;3;1;1
Bawang;1; - ; - ; - ; - ; - ; - ; - ; - ;5;2;14
Banjarnegara; - ;2; - ;2; - ; - ; - ; - ; - ; - ;1;16
Pagedongan; - ; - ;3; - ; - ; - ; - ; - ; - ;7;6;34
Sigaluh;3;3; - ; - ; - ; - ; - ; - ; - ; - ; - ;7
Madukara; - ; - ; - ; - ; - ; - ; - ; - ; - ;3;1; - 
Banjarmangu; - ;17;5; - ; - ; - ; - ; - ; - ;12; - ;28
Wanadadi; - ; - ; - ; - ; - ; - ; - ; - ; - ;3; - ;2
Rakit; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Punggelan;7;2; - ;1; - ; - ; - ; - ; - ;4;8;19
Karangkobar;2;1;7; - ; - ; - ; - ; - ;1;1;2;6
Pagentan;2;9;2; - ; - ; - ; - ; - ;1;13;5;38
Pejawaran;9; - ;2;1; - ; - ; - ; - ;4;2;5;10
Batur;1; - ;4; - ; - ; - ; - ; - ; - ; - ; - ;1
Wanayasa;5;3;1;2; - ; - ; - ; - ;5;1;2;16
Kalibening;2;3;1; - ; - ; - ; - ; - ;2; - ; - ;9
Pandanarum;2;1; - ;1; - ; - ; - ; - ;1;16;5;4
