Kecamatan;Jan;Feb;Mar;Apr;Mei;Juni;Jul;Agt;Sept;Okt;Nop;Des
Susukan;2; - ; - ;2; - ; - ; - ; - ; - ; - ; - ; - 
Purwareja Klampok; - ;1; - ;1; - ;1; - ; - ; - ; - ; - ; - 
Mandiraja; - ;2;1; - ; - ; - ;1; - ; - ; - ; - ; - 
Purwanegara; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Bawang; - ;1;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Banjarnegara;3; - ; - ; - ;1; - ;1; - ; - ; - ; - ; - 
Pagedongan; - ;1; - ;1;1; - ; - ; - ; - ; - ; - ; - 
Sigaluh;2;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Madukara;1; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - 
Banjarmangu; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanadadi;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Rakit; - ; - ;1;1; - ; - ; - ; - ; - ; - ; - ; - 
Punggelan; - ;3; - ;1; - ; - ; - ; - ;2; - ; - ; - 
Karangkobar; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pagentan; - ;1;1; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pejawaran; - ; - ; - ;1; - ; - ; - ; - ; - ; - ; - ; - 
Batur; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Wanayasa;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Kalibening;1;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
Pandanarum; - ;1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
