kecamatan,smk_negeri,smk_swasta,jumlah_smk_negeri_swasta,guru_negeri,guru_swasta,jumlah_guru_negeri_swasta,murid_negeri,murid_swasta,murid_negeri_swasta
Susukan,1,-,1,28,-,28,662,-,662
Purwareja Klampok,-,4,4,-,144,144,-,4254,4254
Mandiraja,1,-,1,62,-,62,1042,-,1042
Purwanegara,-,-,-,-,-,-,-,-,-
Bawang,2,-,2,199,-,199,3689,-,3689
Banjarnegara,-,6,6,-,222,222,-,4137,4137
Pagedongan,-,-,-,-,-,-,-,-,-
Sigaluh,-,1,1,-,4,4,-,12,12
Madukara,-,-,-,-,-,-,-,-,-
Banjarmangu,-,1,1,-,19,19,-,274,274
Wanadadi,-,1,1,-,25,25,-,659,659
Rakit,-,1,1,-,23,23,-,377,377
Punggelan,1,-,1,78,-,78,1466,-,1466
Karangkobar,-,2,2,-,29,29,-,449,449
Pagentan,1,-,1,3,-,3,142,-,142
Pejawaran,1,1,2,33,10,43,482,168,650
Batur,-,-,-,-,-,-,-,-,-
Wanayasa,1,-,1,47,-,47,926,-,926
Kalibening,-,1,1,-,7,7,-,139,139
Pandanarum,1,-,1,23,-,23,317,-,317
