kecamatan,luas_panen_ha,produksi_ton,rata_rata_produksi_kw_per_ha,total
Susukan,2351,14959,63.63,14959
Purwareja Klampok,1528,10337.6,67.65,10337.6
Mandiraja,2998,22920,76.45,22920
Purwanegara,2717,21112,77.7,21112
Bawang,2009,13199.1,65.7,13199.1
Banjarnegara,886,5671,64.01,5671
Pagedongan,266,1696,63.76,1696
Sigaluh,305,2215,72.62,2215
Madukara,398,2587,65,2587
Banjarmangu,972,5505.8,56.64,5505.8
Wanadadi,1241,9103.6,73.36,9103.6
Rakit,1073,7532,70.2,7532
Punggelan,1606,9993.6,62.23,9993.6
Karangkobar,362,2044,56.46,2044
Pagentan,424,2081,49.08,2081
Pejawaran,151,847.5,56.13,847.5
Batur,-,-,-,-
Wanayasa,75,287,38.27,287
Kalibening,1602,10251,63.99,10251
Pandanarum,833,4498.2,54,4498.2
